Category;WordPhrase;Transcription;Translate;Example;CreateDate
Dictionary;breakthrough;[ˈbreɪkθruː];крупное достижение, открытие, шаг вперед в определенной области, важное научное открытие, техническое усовершенствование, прорыв, важное открытие/достижение, новизна;technological breakthrough — технологический прорыв;01.12.2015
Dictionary;availability;[əˌveɪləˈbɪlətɪ];годность, полезность, пригодность, наличие, присутствие;;01.12.2015
Dictionary;multivarious;[ˏmʌltı`ve(ə)rıəs];многообразный, разнообразный;;01.12.2015
Dictionary;abandon;[ə'bændən];покидать, оставлять, самовольно уходить (с поста и т. п.);to abandon ship — покинуть корабль;28.11.2015
Dictionary;abolish;[ə'bɔlɪʃ];аннулировать, отменять, упразднять, объявлять недействительным;to abolish colonialism — ликвидировать колониализм;28.11.2015
Dictionary;abolition;[ˌæbə'lɪʃ(ə)n];отмена, аннулирование (договора, закона и т. п.);abolition of serfdom — отмена крепостного права;28.11.2015
Dictionary;absolutely;[ˌæbs(ə)'l(j)uːtlɪ];совершенно, безусловно;absolutely indispensable — совершенно необходимый;28.11.2015
Dictionary;absorption;[əb'zɔːpʃ(ə)n];всасывание, впитывание, абсорбция, поглощение;Vitamin C increases the absorption of iron from food. — Витамин C помогает впитыванию железа из пищи.;28.11.2015
Dictionary;abuse;[ə'bjuːs];оскорбление, брань, оскорблять, ругать, бесчестить, поносить;to bombard smb. with abuse — осыпать кого-л. оскорблениями;28.11.2015
Dictionary;accept;;принимать, брать, соглашаться;accept blindly — слепо поверить;28.11.2015
Dictionary;accessible;;доступный (to), достижимый;easily accessible — легко доступный;28.11.2015
Dictionary;accompany;;сопровождать, следовать вместе;He agreed to accompany me on a trip to Africa. — Он согласился сопровождать меня в путешествии в Африку.;28.11.2015
Dictionary;according to;;в соответствии с, согласно, по;according to specification enclosed — согласно приложенной спецификации;28.11.2015
Dictionary;account;;счет;Some banks make it difficult to open an account. — В некоторых банках трудно открыть счет.;28.11.2015
Dictionary;accreditation;;аккредитование, аккредитация (дипломатических представителей, журналистов и т. п.);Media representatives should arrive at the Press Centre by 11:40 to obtain accreditation. — Представители средств массовой информации должны прибыть в пресс-центр в 11.40 для получения аккредитации.;28.11.2015
